任务Id,是否手工完成,任务名称,任务内容,级别限制,年龄限制,阵营限制,性别限制,职业限制,婚姻限制,发放任务的NPC,任务类型,任务性质,发放任务对话,杀戮要求,搜寻要求,传送要求,完成时间限制,验收任务的NPC,任务完成之前对话内容,任务完成之后NPC答复,任务奖励经验值,任务奖励金钱,任务奖励物品id,是否可重复完成,任务前续,力量限制,智力限制,敏捷限制,绝对限制,任务入口,任务出口
22,n,一些补给,去十绝幻阵杀昆仑门人收集30个头颅,11,,妖魔,,,,jinaodao/wangtianjun400,find,,教主给你们这些新教徒们准备了不少的物资，当然了，你想吃白食肯定是没戏的，去拿回30个昆仑门徒头颅来给我。,,昆仑门徒头颅:30,,,jinaodao/wangtianjun400,物资不多，你尽快完成任务来拿吧。,拿去吧，别辜负了教主的苦心,600,600,food/xiaohuandan:5|water/changqingshui:5,1,21,0,0,0,0,null,null
23,n,十绝幻阵,杀掉修真士、濒死诛仙、散仙、道士、力士、落魄剑仙各5个之后找王天军复命,12,,妖魔,,,,jinaodao/wangtianjun400,kill,,最近十绝幻阵那里堆积的人类有点多了，你去清理一下那些垃圾吧。,修真士:5|濒死诛仙:5|散仙:5|道士:5|力士:5|落魄剑仙:5,,,,jinaodao/wangtianjun400,快点去！！！,看来我们可以继续有空间去抓人了,800,800,,1,21,0,0,0,0,null,null
24,n,破剑,收集3把昆仑破剑,13,,妖魔,,,,jinaodao/wangtianjun400,find,,我对昆仑派的武器比较感兴趣，去看看幻阵那些人里谁带武器了，收集3把给我,,昆仑破剑:3,,,jinaodao/wangtianjun400,快点去！！！,已经都破烂成这样了，看来没什么价值了,1500,1100,,,21,0,0,0,0,null,null
25,n,成才,去找你的第一任师傅赵公明谈谈,14,,妖魔,,,,jinaodao/wangtianjun400,send,,你现在也算学有所成了，去找你的第一任师傅赵公明谈谈,,,,,jinaodao/zhaogongming400,别让你师傅等急了,我们妖魔又多了一员猛将啊。,1600,1200,,,24,0,0,0,0,null,null
26,n,出山！,去蜈蚣洞穴杀毒虫，拿回来1个虫头来找王天军复命,15,,妖魔,,,,jinaodao/wangtianjun400,find,,好，你可以下山历练了，到蜈蚣洞穴那里去随便杀一个小毒虫拿一个虫头来给我。,,虫头:1,,,jinaodao/wangtianjun400,快去完成任务吧。,有你帮忙我轻松多了。,1700,1300,,,25,0,0,0,0,null,null
27,n,毒虫之巢,杀掉赤血蜈蚣、青色毒蝎、蛆虫幼体、象鼻毒虫、百足蜈蚣、黑翅毒蜂各5个来找王天军复命,16,,妖魔,,,,jinaodao/wangtianjun400,kill,,看来我们金鳌岛后面的蜈蚣洞穴里的毒虫真不少呢，去清理清理,赤血蜈蚣:5|青色毒蝎:5|蛆虫幼体:5|象鼻毒虫:5|百足蜈蚣:5|黑翅毒蜂:5,,,,jinaodao/wangtianjun400,快去完成任务吧。,有你帮忙我轻松多了。,1800,1400,,,26,0,0,0,0,null,null
28,n,毒液袋,去蜈蚣洞穴收集20个毒液袋来找王天军复命,17,,妖魔,,,,jinaodao/wangtianjun400,find,,既然毒虫这么多，我正好需要毒液袋，你去帮我收集20个,,毒液袋:20,,,jinaodao/wangtianjun400,快去完成任务吧。,有你帮忙我轻松多了。,1000,1000,,1,26,0,0,0,0,null,null
29,n,巨大毒牙,去蜈蚣洞穴收集1个巨大的毒牙来找王天军复命,18,,妖魔,,,,jinaodao/wangtianjun400,find,,毒汁收集的不少了，我现在需要一滴巨大的毒牙，你在那些虫子里好好收集收集吧,,巨大毒牙:1,,,jinaodao/wangtianjun400,快去完成任务吧。,有你帮忙我轻松多了。,2000,1600,,,28,0,0,0,0,null,null
30,n,虫壳,去蜈蚣洞穴收集10个虫壳来找王天军复命,19,,妖魔,,,,jinaodao/wangtianjun400,find,,看来材料收集的都差不多，还少一些虫壳，你继续去帮我找来吧,,虫壳:10,,,jinaodao/wangtianjun400,快去完成任务吧。,有你帮忙我轻松多了。,1200,1200,,1,29,0,0,0,0,null,null
36,n,福寿山之路,杀掉樵夫、福寿村民、福寿守卫、小贩、农夫、妇女各5个后找王天军复命,15,,妖魔,,,,jinaodao/wangtianjun400,kill,,知道福寿山这个地方吗？那是距离我们最近的人类家园，去杀几个人类玩玩吧。,樵夫:5|福寿村民:5|福寿守卫:5|小贩:5|农夫:5|妇女:5,,,,jinaodao/wangtianjun400,快去完成任务吧。,让那些虚伪的人类知道知道厉害,1700,1300,,,25,0,0,0,0,null,null
37,n,仁慈！,收集30个妇女耳朵找王天军复命,16,,妖魔,,,,jinaodao/wangtianjun400,find,,人类拿我们当作妖孽，封杀我们的族人，现在我们要报复他们，杀掉那些妇女，把他们的耳朵拿来给我，记得，不要仁慈！！！！,,妇女耳朵:30,,,jinaodao/wangtianjun400,快去完成任务吧。,让那些虚伪的人类知道知道厉害,1800,1400,,,36,0,0,0,0,null,null
38,n,血洗福寿镇！,杀掉樵夫、小贩、农夫、妇女各10个后找王天军复命,17,,妖魔,,,,jinaodao/wangtianjun400,kill,,杀光福寿镇的平民！！,樵夫:10|小贩:10|农夫:10|妇女:10,,,,jinaodao/wangtianjun400,快去完成任务吧。,让那些虚伪的人类知道知道厉害,1000,1000,,1,36,0,0,0,0,null,null
39,n,昆仑山的密函,找到昆仑山的密函交给王天军,18,,妖魔,,,,jinaodao/wangtianjun400,find,,听说有人在福寿镇发现了昆仑山的密函，找到它，带给我,,昆仑山的密函:1,,,jinaodao/wangtianjun400,快去完成任务吧。,让那些虚伪的人类知道知道厉害,2000,1600,,,38,0,0,0,0,null,null
40,n,仙人骨,剔出1幅仙人骨带给王天军,19,,妖魔,,,,jinaodao/wangtianjun400,find,,原来昆仑山的仙人发现了福寿山里有人拥有仙人骨，要带这样的人上昆仑山修炼，把他们都杀掉，骨头剔出来带给我,,仙人骨:1,,,jinaodao/wangtianjun400,快去完成任务吧。,让那些虚伪的人类知道知道厉害,1200,1200,,1,39,0,0,0,0,null,null
41,n,在昆仑山的修炼,消灭无影幻兽、虚空幻影、飘渺魔影、混沌巨鹰各5个后找太乙真人复命,10,,人类,,,,kunlunshan/taijizhenren400,kill,,从今天开始你就要开始在昆仑山修炼了，去杀几个幻兽吧,无影幻兽:5|虚空幻影:5|飘渺魔影:5|混沌巨鹰:5,,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,1200,800,,,,0,0,0,0,null,null
42,n,鹰嘴,收集15个混沌巨鹰的巨大鸟喙给太乙真人,11,,人类,,,,kunlunshan/taijizhenren400,find,,我需要你帮我收集15个巨鹰的喙,,巨鹰喙:15,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,600,600,food/xiaohuandan:5|water/changqingshui:5,1,41,0,0,0,0,null,null
43,n,影子碎片,收集20个影子碎片给太乙真人,12,,人类,,,,kunlunshan/taijizhenren400,find,,在你修炼的时候顺便帮我收集一下那些虚影的碎片,,影子碎片:20,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,800,800,,1,41,0,0,0,0,null,null
44,n,昆仑虚空,收集1个虚空精华带给太乙真人,13,,人类,,,,kunlunshan/taijizhenren400,find,,听说我们的那些用于训练的幻兽掉落一种虚空精华，帮我带一个来,,虚空精华:1,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,1500,1100,,,43,0,0,0,0,null,null
45,n,出师,去找道德真君谈话,14,,人类,,,,kunlunshan/taijizhenren400,send,,你在昆仑山修炼已经很久了，去找道德真君去谈谈吧,,,,,kunlunshan/daodezhenjun400,速去完成我交给你的任务吧,你修炼的真够刻苦的，我很欣慰啊，你可以去十二仙境修炼了,1600,1200,,,44,0,0,0,0,null,null
46,n,欢迎来到太华山,去拿取1根雷鸟毛交给赤精子,15,,人类,,,,kunlunshan/chijingzi400,find,,欢迎你来到太华山，如果你想在我这里修炼的话，你要拿一只雷鸟毛交给我，我才会派任务给你,,雷鸟毛:1,,,kunlunshan/chijingzi400,速去完成我交给你的任务吧,不错，你越来越成熟了,1700,1300,,,,0,0,0,0,null,null
47,n,新的修炼,消灭清云兽、灵龟、雷鸟、伪龙各5个后找赤精子复命,16,,人类,,,,kunlunshan/chijingzi400,kill,,我们清三仙的境界内有不少你可以挑战的妖兽，你杀掉几个修炼一下吧,清云兽:5|灵龟:5|雷鸟:5|伪龙:5,,,,kunlunshan/chijingzi400,速去完成我交给你的任务吧,不错，你越来越成熟了,1800,1400,,,46,0,0,0,0,null,null
48,n,灵龟壳,收集15个灵龟之壳交给赤精子,17,,人类,,,,kunlunshan/chijingzi400,find,,清三仙山上的灵龟之壳是很好的药材，帮我收集15块来,,灵龟之壳:15,,,kunlunshan/chijingzi400,速去完成我交给你的任务吧,不错，你越来越成熟了,1000,1000,,1,46,0,0,0,0,null,null
49,n,龙骨,收集1个伪龙骨交给赤精子,18,,人类,,,,kunlunshan/chijingzi400,find,,伪龙的骨头和灵龟之壳一样是我们修炼丹药的主要材料，你去帮我收集一幅最好的来,,完美的伪龙骨:1,,,kunlunshan/chijingzi400,速去完成我交给你的任务吧,不错，你越来越成熟了,2000,1600,,,48,0,0,0,0,null,null
50,n,龙牙,收集30颗龙牙交给赤精子,19,,人类,,,,kunlunshan/chijingzi400,find,,我还需要大量的龙牙，收集30颗给我,,龙牙:30,,,kunlunshan/chijingzi400,速去完成我交给你的任务吧,不错，你越来越成熟了,1200,1200,,1,49,0,0,0,0,null,null
51,n,黄家墓地,消灭腐烂僵尸、荒野豺狼、腐蚀鸟、散架骷髅各5个之后找太乙真人复命,15,,人类,,,,kunlunshan/taijizhenren400,kill,,黄家庄的后墓听说最近出了很多的妖孽，去消灭他们,腐烂僵尸:5|荒野豺狼:5|腐蚀鸟:5|散架骷髅:5,,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,1700,1300,,,,0,0,0,0,null,null
52,n,尸骸,收集30块尸骸交给太乙真人,16,,人类,,,,kunlunshan/taijizhenren400,find,,帮我收集点黄家庄墓地的尸骸，我要研究一下他们为什么又转活了,,尸骸:30,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,1800,1400,,,51,0,0,0,0,null,null
53,n,腐蚀鸟毛,收集20个腐蚀鸟的毛交给太乙真人,17,,人类,,,,kunlunshan/taijizhenren400,find,,我想检查一下那些腐蚀鸟的情况，把他们的毛拿来给我,,腐蚀鸟毛:20,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,1000,1000,,1,51,0,0,0,0,null,null
54,n,金鳌岛的妖孽,找到金鳌岛印记交给太乙真人,18,,人类,,,,kunlunshan/taijizhenren400,find,,我听说这些墓地内的妖魔和金鳌岛有关，你能帮我找到一些证据吗？,,金鳌岛印记:1,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,2000,1600,,,53,0,0,0,0,null,null
55,n,清理墓地,消灭腐烂僵尸、荒野豺狼、腐蚀鸟、散架骷髅各10个之后找太乙真人复命,19,,人类,,,,kunlunshan/taijizhenren400,kill,,看来黄家墓地里已经被妖孽所占领了，请你帮忙把他们都清理掉,腐烂僵尸:10|荒野豺狼:10|腐蚀鸟:10|散架骷髅:10,,,,kunlunshan/taijizhenren400,速去完成我交给你的任务吧,不错，你越来越成熟了,1200,1200,,1,54,0,0,0,0,null,null
56,n,【特殊】天选之人,找到天庭信印，交付给原始天尊,20,,人类,,剑仙,,kunlunshan/yuanshitianzun999,find,,天庭的信印被【火云兽】盗取了，我正在寻找有能力的人帮我找回信印，我看你根骨不错，不知道你是否愿意帮我去夺回天庭信印呢？,,天庭信印:1,,,kunlunshan/yuanshitianzun999,想要拿到天庭异宝，你就快去完成我托付给你的事情,这件宝贝以后就是你的了，收下吧,3000,3000,taskaward/linglongqiqiaoxin:1,,,60,,,0,null,null
57,n,【特殊】人杰,找到木精髓，交付给原始天尊,20,,人类,,羽士,,kunlunshan/yuanshitianzun999,find,,我正在寻找最精粹的植物精髓，只有大智慧之人才有能力完成这样的任务，你正好是我需要的人才，你能帮我去取【百须树妖】的精髓吗？,,木精髓:1,,,kunlunshan/yuanshitianzun999,想要拿到天庭异宝，你就快去完成我托付给你的事情,这件宝贝以后就是你的了，收下吧,3000,3000,taskaward/fazaozhong:1,,,,60,,0,null,null
58,n,【特殊】仙骨,找到仙龙骨，交付给原始天尊,20,,人类,,诛仙,,kunlunshan/yuanshitianzun999,find,,凡人成仙需要具有仙人骨，飞龙升天也是一样的，现在昆仑山需要一条神龙护院，只有身手敏捷之人才可以制服蟠龙取得仙龙骨，你是否愿意帮我这个忙呢？,,仙龙骨:1,,,kunlunshan/yuanshitianzun999,想要拿到天庭异宝，你就快去完成我托付给你的事情,这件宝贝以后就是你的了，收下吧,3000,3000,taskaward/xingjiuzhan:1,,,,,60,0,null,null
59,n,【特殊】地煞之人,找到万毒赤胆，交付给通天教主,20,,妖魔,,狂妖,,jinaodao/tongtianjiaozhu999,find,,我早就听王天军提起过你，现在让你帮我去取得【巨毒蝎】的赤胆，快去快回吧,,万毒赤胆:1,,,jinaodao/tongtianjiaozhu999,速去做事，截教不养无能之人,这个拿去吧，算是你的报酬,3000,3000,taskaward/liewenyin:1,,,60,,,0,null,null
60,n,【特殊】妖冥,找到虫王幼体，交付给通天教主,20,,妖魔,,巫妖,,jinaodao/tongtianjiaozhu999,find,,我需要一名出色的巫妖帮我去炼化【尖牙蛆虫】取得里面的虫王幼体，你可以愿意尝试吗？,,虫王幼体:1,,,jinaodao/tongtianjiaozhu999,速去做事，截教不养无能之人,这个拿去吧，算是你的报酬,3000,3000,taskaward/wenhuangsan:1,,,,60,,0,null,null
61,n,【特殊】鬼神之能,找到毒龙精血，交付给通天教主,20,,妖魔,,影鬼,,jinaodao/tongtianjiaozhu999,find,,蜈蚣洞穴里的高级蜈蚣会掉落毒龙精血，我看你身手矫健，给你这个表现的机会。,,毒龙精血:1,,,jinaodao/tongtianjiaozhu999,速去做事，截教不养无能之人,这个拿去吧，算是你的报酬,3000,3000,taskaward/youhunwangufan:1,,,,,60,0,null,null
62,n,【特殊】求学,收集10个魔影的心交给原始天尊,9,,人类,,羽士,,kunlunshan/yuanshitianzun999,find,,年轻的羽士你好，看来你在昆仑的修炼已经有一段时间了，是时候让你知道一些秘密了，不过我需要你帮助我做一些事情才可以，去收集10个魔影的心。,,魔影的心:10,,,kunlunshan/yuanshitianzun999,速去速回吧！,任务完成得不错，这些给你作为奖励！,1000,1000,,,,0,0,0,0,null,null
63,n,【特殊】神奇的仙术,找到一根混沌巨鹰的翎羽交给原始天尊,9,,人类,,羽士,,kunlunshan/yuanshitianzun999,find,,现在是时候教导你一些简单的仙术了，去找混沌巨鹰的一根翎羽来，我要以此为笔把仙术传授与你。,,混沌巨鹰的翎羽:1,,,kunlunshan/yuanshitianzun999,速去速回吧！,任务完成得不错，这些给你作为奖励！,1000,1000,book/ningyehuawushu:1,,62,0,0,0,0,null,null
64,n,【特殊】妖术变化,收集10个散仙的魂魄交给通天教主,9,,妖魔,,巫妖,,jinaodao/tongtianjiaozhu999,find,,你小子化妖有一段时间了吧，竟然到现在都不会好好利用自己的妖法，如果你能帮我收集10个散仙的魂魄，我会考虑较你一些法术的。,,散仙的魂魄:10,,,jinaodao/tongtianjiaozhu999,速去速回吧！,任务完成得不错，这些给你作为奖励！,1000,1000,,,,0,0,0,0,null,null
65,n,【特殊】妖法与仙术,找到一个修真士的精魂交给通天教主,9,,妖魔,,巫妖,,jinaodao/tongtianjiaozhu999,find,,小子！虽然你已经很努力了，但是想要拿到真正的法术，你还需要继续替我卖命，再去找一个修真士的精魂给我,,修真士的精魂:1,,,jinaodao/tongtianjiaozhu999,速去速回吧！,任务完成得不错，这些给你作为奖励！,1000,1000,book/ningyehuawushu:1,,64,0,0,0,0,null,null
66,n,【特殊】风的气息,收集10个清云兽的鳞片交给原始天尊,19,,人类,,剑仙,,kunlunshan/yuanshitianzun999,find,,又一个无法御剑的剑仙，看来太乙的教导还是有缺陷啊，这样把你去采集10个清云兽的鳞片来给我，我会教你御剑之术,,清云兽的鳞片:10,,,kunlunshan/yuanshitianzun999,速去速回吧！,任务完成得不错，这些给你作为奖励！,2000,2000,,,,0,0,0,0,null,null
67,n,【特殊】剑仙！,找到一个灵龟的背甲交给原始天尊,19,,人类,,剑仙,,kunlunshan/yuanshitianzun999,find,,我还需要一份灵龟的背甲才能把这份秘籍完成,,灵龟的背甲:1,,,kunlunshan/yuanshitianzun999,速去速回吧！,从今天开始你才算是一名真正的剑仙！,2000,2000,book/yujianshu:1,,66,0,0,0,0,null,null
68,n,【特殊】影子,找到10个妇女的灵血交给通天教主,19,,妖魔,,影鬼,,jinaodao/tongtianjiaozhu999,find,,又一个鬼影，你看来还没有进化啊？想要知道怎么进化吗？给我拿10份妇女的灵血来，很久没喝过新鲜的人血了,,妇女的灵血:10,,,jinaodao/tongtianjiaozhu999,速去速回吧！,这血的味道真甜美啊！,2000,2000,,,,0,0,0,0,null,null
69,n,【特殊】虚幻的世界,找到一个黑翅毒蜂的金翅交给通天教主,19,,妖魔,,影鬼,,jinaodao/tongtianjiaozhu999,find,,恩，拿张黑翅毒蜂的金翅来，我会把秘密写在上面！,,黑翅毒蜂的金翅:1,,,jinaodao/tongtianjiaozhu999,速去速回吧！,又多了一个完美的刺客，哈哈！,2000,2000,book/yingdun:1,,68,0,0,0,0,null,null
70,n,污秽的镜湖,镜湖内的所有花妖，每种都消灭一只之后找殷郊复命,20,,,,,,liangjinghu/yinjiao60,kill,,原来这里是个很美丽的镜湖，现在已经被那些怪物给占领了，麻烦你去清扫一下那些花妖,玫瑰藤:1|桃花精怪:1|鬼蝴蝶:1|毒花婆婆:1|红眼美妇:1|娇媚花妖:1|水螅虫:1|小荷妖:1|食肉浮萍:1|荷花女:1|百眼莲蓬:1|毒藕怪:1,,,,liangjinghu/yinjiao60,早点清扫那些花妖，还镜湖一个清静吧,辛苦你了,5000,1000,,1,,0,0,0,0,null,null
